skill	source_name	source_kind	source_path	target_path	sha256	copied_files
lark-workflow-meeting-summary	lark-workflow-meeting-summary	codex-user	/Users/jiangyu/.codex/skills/lark-workflow-meeting-summary/SKILL.md	claude-skills/skills/lark-workflow-meeting-summary/SKILL.md	97b34c38853820f9f3f7cdde42b3ae0e6f413ca0fcaab10d306e6bcbeac5168c	1
lark-workflow-standup-report	lark-workflow-standup-report	codex-user	/Users/jiangyu/.codex/skills/lark-workflow-standup-report/SKILL.md	claude-skills/skills/lark-workflow-standup-report/SKILL.md	42ce3008a6d8f520be83fe25ecde0d1457e658e67cac96f1d1f37179a57b2fa6	1
mean-reviewer	mean-reviewer	codex-user	/Users/jiangyu/.codex/skills/mean-reviewer/SKILL.md	claude-skills/skills/mean-reviewer/SKILL.md	592c831ca98e541de84683aefb4b2227ee831a850b82c4bdb646b6d3820d48d9	12
neat-freak	neat-freak	codex-user	/Users/jiangyu/.codex/skills/neat-freak/SKILL.md	claude-skills/skills/neat-freak/SKILL.md	8ccbd3056aac36e8504fbb99dd507af4a9d9fe5451ed84f18a14f35c2975b0e0	3
nwafu-reference-list-md-docx	nwafu-reference-list-md-docx	codex-user	/Users/jiangyu/.codex/skills/nwafu-reference-list-md-docx/SKILL.md	claude-skills/skills/nwafu-reference-list-md-docx/SKILL.md	829949b7e2d4405358f0d3b77b3daba1c0dc9e98a41e003394078dcd0038d1a8	2
nwafu-thesis-writing	nwafu-thesis-writing	codex-user	/Users/jiangyu/.codex/skills/nwafu-thesis-writing/SKILL.md	claude-skills/skills/nwafu-thesis-writing/SKILL.md	bf75680737cfb2fe9ac4feba506c2d1b01d28bf55a2800713bcff7ef22e9c7c4	5
opus4-7-thesis-technical-route-renderer	opus4.7_thesis-technical-route-renderer	codex-user	/Users/jiangyu/.codex/skills/opus4.7_thesis-technical-route-renderer/SKILL.md	claude-skills/skills/opus4-7-thesis-technical-route-renderer/SKILL.md	09f75275a238d40886c6fee81bc9a72a78d3aabac6308625ccf20c75c2a37175	5
pptx	pptx	codex-user	/Users/jiangyu/.codex/skills/pptx/SKILL.md	claude-skills/skills/pptx/SKILL.md	e5b0df918cbe9d62508b3cf808d73899633f82fc19f6258a25ef9f0de7e62125	59
presentations	presentations	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-primary-runtime/presentations/26.521.10419/skills/presentations/SKILL.md	claude-skills/skills/presentations/SKILL.md	73e207fdc997b09be7c177c8cec21cabf7189db58abe1139f6bfeb982f6c0c28	32
receiving-code-review	receiving-code-review	codex-user	/Users/jiangyu/.codex/skills/receiving-code-review/SKILL.md	claude-skills/skills/receiving-code-review/SKILL.md	c9382e92b8f32363566068ecfed19d3b2651eaf40d3942b24840f839dedfc406	1
requesting-code-review	requesting-code-review	codex-user	/Users/jiangyu/.codex/skills/requesting-code-review/SKILL.md	claude-skills/skills/requesting-code-review/SKILL.md	1c9e975642c859c407bc4bbc9c06a171bf9ff88267300def1e02f46047ca5ad9	2
research-analysis-subagent	research-analysis-subagent	codex-user	/Users/jiangyu/.codex/skills/research-analysis-subagent/SKILL.md	claude-skills/skills/research-analysis-subagent/SKILL.md	9363af1cbfc9fbb93e9064c523b90ea48df3de4cba6c307ded14b9c464693753	1
research-workflow	research-workflow	codex-user	/Users/jiangyu/.codex/skills/research-workflow/SKILL.md	claude-skills/skills/research-workflow/SKILL.md	fe0a2772a2f2d3f4c4243fa29694538f9623c7ef5a743a4d5f41f0e6ad944e41	1
spreadsheets	spreadsheets	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.521.10419/skills/spreadsheets/SKILL.md	claude-skills/skills/spreadsheets/SKILL.md	acae99095739bb929f7028218bfc818826f78c839eaadf63fdec692e2133bf41	8
subagent-driven-development	subagent-driven-development	codex-user	/Users/jiangyu/.codex/skills/subagent-driven-development/SKILL.md	claude-skills/skills/subagent-driven-development/SKILL.md	bb09d067ab620b7f4e5024f2ea8e3cfd7c9fefb29e37b29790e735a3ed3b59ea	4
subtitle-refine	subtitle-refine	codex-user	/Users/jiangyu/.codex/skills/subtitle-refine/SKILL.md	claude-skills/skills/subtitle-refine/SKILL.md	a835958a48d788a7e97976616b69b06dee312942ff634fa3acc53491d4dd6d5c	2
systematic-debugging	systematic-debugging	codex-user	/Users/jiangyu/.codex/skills/systematic-debugging/SKILL.md	claude-skills/skills/systematic-debugging/SKILL.md	4999cb851360485eca5074e727bbdd62ef20549c5d5b01216fcbf5831badb473	11
test-driven-development	test-driven-development	codex-user	/Users/jiangyu/.codex/skills/test-driven-development/SKILL.md	claude-skills/skills/test-driven-development/SKILL.md	7dee67b4af6bdccc7a914ca34533184d64592d0f5b23aeae631538168db14994	2
thesis-technical-route-drawio	thesis-technical-route-drawio	codex-user	/Users/jiangyu/.codex/skills/thesis-technical-route-drawio/SKILL.md	claude-skills/skills/thesis-technical-route-drawio/SKILL.md	b65816f67746b0dbad950c116c40911c383f9223fa61ce4043eac620abed47a1	3
thesis-three-line-tables	thesis-three-line-tables	codex-user	/Users/jiangyu/.codex/skills/thesis-three-line-tables/SKILL.md	claude-skills/skills/thesis-three-line-tables/SKILL.md	1d4ba2544ada2cd7f34de262dd3865851afa8397d97dc57cd986db5eb20d83f8	6
using-git-worktrees	using-git-worktrees	codex-user	/Users/jiangyu/.codex/skills/using-git-worktrees/SKILL.md	claude-skills/skills/using-git-worktrees/SKILL.md	de9dcde34840eee074047ec327d4ea6ca4954c5a73a6d874dc48f25fe46c9e7c	1
using-superpowers	using-superpowers	codex-user	/Users/jiangyu/.codex/skills/using-superpowers/SKILL.md	claude-skills/skills/using-superpowers/SKILL.md	5fa548a85ce639dc6a2ea53607f9d405363c9b935004d0d95dc16e9629752d00	3
verification-before-completion	verification-before-completion	codex-user	/Users/jiangyu/.codex/skills/verification-before-completion/SKILL.md	claude-skills/skills/verification-before-completion/SKILL.md	ea52d15aabaf72bc6b558efe2c126f161b53961090ddcd712000273bfe8c7b6c	1
writing-plans	writing-plans	codex-user	/Users/jiangyu/.codex/skills/writing-plans/SKILL.md	claude-skills/skills/writing-plans/SKILL.md	36f2e3326b92a417f8dd60d123c68d06e9e0b7362e439fe839d4b78ad7c55cfd	2
writing-skills	writing-skills	codex-user	/Users/jiangyu/.codex/skills/writing-skills/SKILL.md	claude-skills/skills/writing-skills/SKILL.md	d83a09d6a1c6976f6cc2f40addeae653a4a6eb5903097ebc365d90242e00e379	7
yeet	yeet	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/github/603a6e80/skills/yeet/SKILL.md	claude-skills/skills/yeet/SKILL.md	93a0bcbc834c9b3ad6a8965c1a273b237b6d226e870cd0c16e08e87bc8769814	4
youtube-render-pdf	youtube-render-pdf	codex-user	/Users/jiangyu/.codex/skills/youtube-render-pdf/SKILL.md	claude-skills/skills/youtube-render-pdf/SKILL.md	d5556217ffb00c4149064926dd97fe253bb421874a62fd0f90261052a47be4ef	2
