skill	source_label	source_path	target_path
thesis-three-line-tables	personal-codex	C:\Users\18357\.codex\skills\thesis-three-line-tables	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\thesis-three-line-tables
lark-approval	agents	C:\Users\18357\.agents\skills\lark-approval	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-approval
lark-attendance	agents	C:\Users\18357\.agents\skills\lark-attendance	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-attendance
lark-base	agents	C:\Users\18357\.agents\skills\lark-base	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-base
lark-calendar	agents	C:\Users\18357\.agents\skills\lark-calendar	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-calendar
lark-contact	agents	C:\Users\18357\.agents\skills\lark-contact	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-contact
lark-doc	agents	C:\Users\18357\.agents\skills\lark-doc	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-doc
lark-drive	agents	C:\Users\18357\.agents\skills\lark-drive	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-drive
lark-event	agents	C:\Users\18357\.agents\skills\lark-event	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-event
lark-im	agents	C:\Users\18357\.agents\skills\lark-im	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-im
lark-mail	agents	C:\Users\18357\.agents\skills\lark-mail	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-mail
lark-markdown	agents	C:\Users\18357\.agents\skills\lark-markdown	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-markdown
lark-minutes	agents	C:\Users\18357\.agents\skills\lark-minutes	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-minutes
lark-okr	agents	C:\Users\18357\.agents\skills\lark-okr	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-okr
lark-openapi-explorer	agents	C:\Users\18357\.agents\skills\lark-openapi-explorer	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-openapi-explorer
lark-shared	agents	C:\Users\18357\.agents\skills\lark-shared	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-shared
lark-sheets	agents	C:\Users\18357\.agents\skills\lark-sheets	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-sheets
lark-skill-maker	agents	C:\Users\18357\.agents\skills\lark-skill-maker	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-skill-maker
lark-slides	agents	C:\Users\18357\.agents\skills\lark-slides	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-slides
lark-task	agents	C:\Users\18357\.agents\skills\lark-task	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-task
lark-vc	agents	C:\Users\18357\.agents\skills\lark-vc	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-vc
lark-whiteboard	agents	C:\Users\18357\.agents\skills\lark-whiteboard	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-whiteboard
lark-wiki	agents	C:\Users\18357\.agents\skills\lark-wiki	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-wiki
lark-workflow-meeting-summary	agents	C:\Users\18357\.agents\skills\lark-workflow-meeting-summary	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-workflow-meeting-summary
lark-workflow-standup-report	agents	C:\Users\18357\.agents\skills\lark-workflow-standup-report	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-workflow-standup-report
