"Skill"	"Status"	"InstalledPath"	"LinkType"	"Target"
"lark-workflow-meeting-summary"	"pass"	"C:\Users\18357\.claude\skills\lark-workflow-meeting-summary"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-workflow-meeting-summary"
"lark-workflow-standup-report"	"pass"	"C:\Users\18357\.claude\skills\lark-workflow-standup-report"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-workflow-standup-report"
"mean-reviewer"	"pass"	"C:\Users\18357\.claude\skills\mean-reviewer"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\mean-reviewer"
"neat-freak"	"pass"	"C:\Users\18357\.claude\skills\neat-freak"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\neat-freak"
"nwafu-reference-list-md-docx"	"pass"	"C:\Users\18357\.claude\skills\nwafu-reference-list-md-docx"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\nwafu-reference-list-md-docx"
"nwafu-thesis-writing"	"pass"	"C:\Users\18357\.claude\skills\nwafu-thesis-writing"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\nwafu-thesis-writing"
"paper-digest"	"pass"	"C:\Users\18357\.claude\skills\paper-digest"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\paper-digest"
"pptx"	"pass"	"C:\Users\18357\.claude\skills\pptx"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\pptx"
"prompt-rewriter"	"pass"	"C:\Users\18357\.claude\skills\prompt-rewriter"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\prompt-rewriter"
"research-analysis-subagent"	"pass"	"C:\Users\18357\.claude\skills\research-analysis-subagent"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\research-analysis-subagent"
"research-workflow"	"pass"	"C:\Users\18357\.claude\skills\research-workflow"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\research-workflow"
"server-observation-loop"	"pass"	"C:\Users\18357\.claude\skills\server-observation-loop"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\server-observation-loop"
"ship-package"	"pass"	"C:\Users\18357\.claude\skills\ship-package"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\ship-package"
"thesis-technical-route-drawio"	"pass"	"C:\Users\18357\.claude\skills\thesis-technical-route-drawio"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\thesis-technical-route-drawio"
"thesis-three-line-tables"	"pass"	"C:\Users\18357\.claude\skills\thesis-three-line-tables"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\thesis-three-line-tables"
"ui-trends-watcher"	"pass"	"C:\Users\18357\.claude\skills\ui-trends-watcher"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\ui-trends-watcher"
"weixin-daily-push"	"pass"	"C:\Users\18357\.claude\skills\weixin-daily-push"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\weixin-daily-push"
"wyatt-product-team"	"pass"	"C:\Users\18357\.claude\skills\wyatt-product-team"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\wyatt-product-team"
